Variation ID	Location	Distance from rs73440933	Consequence Type	r2	D'	Phenotypes	GWAS_Trait_Category	Source
rs1537712	9:27508491-27508491	-39497	intron_variant	0.061948	0.999991		No trait reported	Ensembl
rs138129614	9:27673060-27673060	125072	intergenic_variant	0.088315	0.473846		No trait reported	Ensembl
rs191483257	9:27678646-27678646	130658	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs17769205	9:27537556-27537556	-10432	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs78439498	9:27520231-27520231	-27757	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs551223747	9:27481631-27481631	-66357	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs112447582	9:27522193-27522193	-25795	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2440622	9:27495420-27495420	-52568	intron_variant	0.543000	1.000000		No trait reported	Ensembl
rs76252824	9:27536789-27536789	-11199	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs1330920	9:27378303-27378303	-169685	intron_variant	0.078852	0.999944		No trait reported	Ensembl
rs80083405	9:27644541-27644541	96553	intergenic_variant	0.052781	0.298266		No trait reported	Ensembl
rs868856	9:27489253-27489253	-58735	intron_variant	0.060392	0.999989		No trait reported	Ensembl
rs539341934	9:27481630-27481630	-66358	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs546433710	9:27525983-27525983	-22005	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs3893203	9:27535195-27535195	-12793	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs138487981	9:27656252-27656252	108264	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs7030425	9:27421556-27421556	-126432	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs2492820	9:27503771-27503771	-44217	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs41272885	9:27526140-27526140	-21848	3_prime_UTR_variant	1.000000	1.000000		No trait reported	Ensembl
rs139985043	9:27657965-27657965	109977	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs56359331	9:27519061-27519061	-28927	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs10738774	9:27506053-27506053	-41935	intron_variant	0.060392	0.999989		No trait reported	Ensembl
rs115003637	9:27499785-27499785	-48203	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs2492817	9:27511153-27511153	-36835	intron_variant	0.061948	0.999991		No trait reported	Ensembl
rs80325556	9:27429451-27429451	-118537	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs73643404	9:27518209-27518209	-29779	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs12552935	9:27506275-27506275	-41713	intron_variant	0.052781	0.298266		No trait reported	Ensembl
rs2589048	9:27493784-27493784	-54204	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs7019827	9:27468675-27468675	-79313	intron_variant	0.085977	0.743897		No trait reported	Ensembl
rs10217376	9:27315625-27315625	-232363	intergenic_variant	0.058567	0.690138		No trait reported	Ensembl
rs187746266	9:27550424-27550424	2436	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs187077886	9:27797064-27797064	249076	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs112609414	9:27507470-27507470	-40518	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs58967318	9:27510019-27510019	-37969	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs17696369	9:27496595-27496595	-51393	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs73643403	9:27518153-27518153	-29835	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs12344251	9:27447069-27447069	-100919	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs2643802	9:27492781-27492781	-55207	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs112403401	9:27621945-27621945	73957	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs74911668	9:27491513-27491513	-56475	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs76574894	9:27511293-27511293	-36695	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs78963169	9:27532916-27532916	-15072	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs80023054	9:27655444-27655444	107456	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs72721199	9:27383455-27383455	-164533	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs143257601	9:27653138-27653138	105150	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs73643419	9:27572313-27572313	24325	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs112020289	9:27493910-27493910	-54078	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs112663609	9:27575344-27575344	27356	intergenic_variant	0.438885	0.788328		No trait reported	Ensembl
rs58930160	9:27510859-27510859	-37129	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs143562528	9:27730481-27730481	182493	intergenic_variant	0.088315	0.473846		No trait reported	Ensembl
rs9969826	9:27557755-27557755	9767	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs560020170	9:27778101-27778101	230113	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs149734923	9:27492391-27492391	-55597	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs1925239	9:27501653-27501653	-46335	intron_variant	0.543000	1.000000		No trait reported	Ensembl
rs75633587	9:27527344-27527344	-20644	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs116094283	9:27611030-27611030	63042	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs77436566	9:27493038-27493038	-54950	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs59151672	9:27457849-27457849	-90139	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs111653040	9:27568952-27568952	20964	intron_variant	0.795506	1.000000		No trait reported	Ensembl
rs35122540	9:27524820-27524820	-23168	synonymous_variant	0.195580	1.000000		No trait reported	Ensembl
rs111260757	9:27522396-27522396	-25592	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs148406428	9:27348744-27348744	-199244	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs73643415	9:27540138-27540138	-7850	regulatory_region_variant	0.195580	1.000000		No trait reported	Ensembl
rs75689394	9:27520152-27520152	-27836	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs59650877	9:27493379-27493379	-54609	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs149699752	9:27577229-27577229	29241	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs142171418	9:27410754-27410762	-137234	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs146305937	9:27509696-27509696	-38292	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs2183368	9:27687972-27687972	139984	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs73643408	9:27536309-27536309	-11679	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs4242687	9:27726707-27726707	178719	regulatory_region_variant	0.195580	1.000000		No trait reported	Ensembl
rs12115245	9:27533153-27533153	-14835	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs73643417	9:27567509-27567509	19521	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs702230	9:27583296-27583296	35308	intergenic_variant	0.053355	0.999968		No trait reported	Ensembl
rs74760524	9:27508381-27508381	-39607	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs7045713	9:27402367-27402367	-145621	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs67568248	9:27724344-27724344	176356	intergenic_variant	0.056025	0.999921		No trait reported	Ensembl
rs138540954	9:27697884-27697884	149896	intergenic_variant	0.088315	0.473846		No trait reported	Ensembl
rs4878403	9:27299123-27299123	-248865	intergenic_variant	0.055621	0.684691		No trait reported	Ensembl
rs111253152	9:27557061-27557061	9073	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs7852428	9:27344593-27344593	-203395	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs527671870	9:27585271-27585271	37283	intergenic_variant	0.088315	0.473846		No trait reported	Ensembl
rs10757666	9:27565294-27565294	17306	intron_variant	0.068754	0.999982		No trait reported	Ensembl
rs35184194	9:27555559-27555577	7571	intron_variant	0.058890	0.999990		No trait reported	Ensembl
rs7036117	9:27507838-27507838	-40150	intron_variant	0.060392	0.999989		No trait reported	Ensembl
rs117189148	9:27546489-27546489	-1499	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs4592116	9:27512660-27512660	-35328	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs55771407	9:27559701-27559701	11713	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs142719445	9:27676734-27676734	128746	intergenic_variant	0.088315	0.473846		No trait reported	Ensembl
rs10812603	9:27494676-27494676	-53312	intron_variant	0.060392	0.999989		No trait reported	Ensembl
rs112547072	9:27517498-27517498	-30490	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs774354	9:27515969-27515969	-32019	intron_variant	0.061948	0.999991		No trait reported	Ensembl
rs3849940	9:27536146-27536146	-11842	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs74822608	9:27490490-27490490	-57498	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs572497535	9:27721013-27721013	173025	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs112048460	9:27573085-27573085	25097	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs190607077	9:27502387-27502387	-45601	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs12115423	9:27533661-27533661	-14327	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs200583482	9:27547927-27547933	-61	3_prime_UTR_variant	1.000000	1.000000	Amyotrophic Lateral Sclerosis/Frontotemporal Dementia	Other trait	Ensembl
rs146816149	9:27783219-27783219	235231	intergenic_variant	0.195580	1.000000	6-hydroxyindole sulfate levels	Other measurement	GWAS
rs7046653	9:27490969-27490969	-57019	intron_variant	0.060392	0.999989	Response to TNF antagonist treatment	Biological process	GWAS
rs1031154	9:27498802-27498802	-49186	intron_variant	0.543000	1.000000	Respiratory Function Tests	Other measurement	Ensembl
rs2484314	9:27511286-27511286	-36702	intron_variant	0.061948	0.999991	Hair color	Other trait	GWAS
rs10511815	9:27518823-27518823	-29165	intron_variant	0.614407	1.000000	Cholesterol, HDL	No mapped ontology trait	Ensembl
rs147211831	9:27436086-27436086	-111902	intron_variant	0.195580	1.000000	FRONTOTEMPORAL DEMENTIA	Other trait	GWAS
rs141063383	9:27548278-27548278	290	synonymous_variant	0.195580	1.000000	ClinVar: phenotype not specified;FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1	No mapped ontology trait	Ensembl
rs41272893	9:27573828-27573828	25840	5_prime_UTR_variant	1.000000	1.000000	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1	Neurological disorder	Ensembl
rs774359	9:27561051-27561051	13063	3_prime_UTR_variant	0.070620	0.999986	Amyotrophic lateral sclerosis	Other trait	GWAS
